step,norm_speed,norm_lane_offset,norm_z_diff,norm_heading,norm_obstacle_dist,norm_yaw_rate,norm_last_steer,norm_last_tb,norm_curvature,norm_dist_next,norm_traffic_light,action_steer,action_throttle_brake
0,0.0,-0.04925591126084328,0.5688105225563049,2.814663835337683e-09,1.0,0.0,0.0,0.0,-0.11123131215572357,1.0,1.0,0.0,0.0
1,0.0,-0.04925591126084328,0.5627673864364624,2.814663835337683e-09,1.0,0.0,0.0,0.0,-0.11123131215572357,1.0,1.0,0.0,0.0
2,0.0,-0.04925591126084328,0.5552279949188232,2.814663835337683e-09,1.0,0.0,0.0,0.0,-0.11123131215572357,1.0,1.0,0.0,0.0
3,0.0,-0.04925591126084328,0.5472965240478516,2.814663835337683e-09,1.0,0.0,0.0,0.0,-0.11123131215572357,1.0,1.0,0.0,0.0
4,0.0,-0.04925591126084328,0.5386928915977478,2.814663835337683e-09,1.0,0.0,0.0,0.0,-0.11123131215572357,1.0,1.0,0.0,0.0
5,0.0,-0.04925591126084328,0.5307638645172119,2.814663835337683e-09,1.0,0.0,0.04553607106208801,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.04553607106208801,0.8500000238418579
6,0.0,-0.04925591126084328,0.5210099816322327,2.814663835337683e-09,1.0,0.0,0.04553607106208801,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.04553607106208801,0.8500000238418579
7,0.0,-0.04925591126084328,0.5110881924629211,2.814663835337683e-09,1.0,0.0,0.04553607106208801,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.04553607106208801,0.8500000238418579
8,0.0,-0.04925591126084328,0.5003535151481628,2.814663835337683e-09,1.0,0.0,0.04553607106208801,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.04553607106208801,0.8500000238418579
9,0.0,-0.04925591126084328,0.4879530668258667,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
10,0.0,-0.04925591126084328,0.4764287769794464,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
11,0.0,-0.04925591126084328,0.4637613296508789,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
12,0.0,-0.04925591126084328,0.45023617148399353,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
13,0.0,-0.04925591126084328,0.4369242489337921,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
14,0.0,-0.04925591126084328,0.4218566417694092,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
15,0.0,-0.04925591126084328,0.40657731890678406,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
16,0.0,-0.04925591126084328,0.3910130560398102,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
17,0.0,-0.04925591126084328,0.37417855858802795,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
18,0.0,-0.04925591126084328,0.35742610692977905,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
19,0.0,-0.04925591126084328,0.3398081660270691,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
20,0.0,-0.04925591126084328,0.3210770785808563,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
21,0.0,-0.04925591126084328,0.30297374725341797,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
22,0.0,-0.04925591126084328,0.2833934426307678,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
23,0.0,-0.04925591126084328,0.26411861181259155,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
24,0.0,-0.04925591126084328,0.2423892468214035,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
25,0.0,-0.04925591126084328,0.21955940127372742,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
26,0.0,-0.04925591126084328,0.1990586370229721,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
27,0.0,-0.04925591126084328,0.17736349999904633,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
28,0.0,-0.04925591126084328,0.15253230929374695,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
29,0.0,-0.04925591126084328,0.12860645353794098,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
30,0.0,-0.04925591126084328,0.104954294860363,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
31,0.0,-0.04925591126084328,0.08072646707296371,2.814663835337683e-09,1.0,0.0,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
32,5.440633685793728e-07,-0.04925591126084328,0.056829869747161865,2.814663835337683e-09,1.0,5.951638826218186e-08,0.03253621980547905,0.8500000238418579,-0.11123131215572357,1.0,1.0,0.03253621980547905,0.8500000238418579
